timestamp	hr								ecg
2025-11-19 18:45:16.295000+00:00									-367,-334,-247,-173,-135,-86,-13
2025-11-19 18:27:36.239000+00:00									222,201,192,192,191,187,123,126,-59,-223,-442
2025-11-19 18:18:24.312000+00:00									-154,-115,-225,-190,-190,32,-214,-151,-269,-261
2025-11-19 18:05:32.130000+00:00									-506,-140,-149,-157,-154,-153,-151,-158,-152,-156,-151
2025-11-19 18:31:36.326000+00:00									-242,-362,-310,-282,-183,-154,-167,-374,-491,-314,-296
2025-11-19 18:24:05.493000+00:00									-153
2025-11-19 18:44:05.618000+00:00									-159,-252,-343,-340,-322,-251,-184,-171,-112,-96,-107
2025-11-19 18:43:30.183000+00:00									-213,-364,-346,-261,-197
2025-11-19 18:19:07.097000+00:00									212,198,-1,198,199,198,212,212,198,197,178,66,-24,-157,-230,-283,-287,-261,-294,-263,-250,-228,-227,-195,-145,-256,-213,-153,-170,-96,-50,-119,-131,104
2025-11-19 18:31:04.399000+00:00									-144
2025-11-19 18:16:43.046000+00:00									-112,-108,-102,-92,-109,-105,-28,-166,-160,-153
2025-11-19 18:16:27.657000+00:00	50								-166,-163,-165,-160,-158,-159,-97,-228,-197,-170,-135,-135,-119,-160,-205,-193,-189,-197,-172,-126,-175,-177,-162,-136,-153,-141,-92,-145,-137,-134,-139,-154,-168,-105,-179,-156,-136,-126
2025-11-19 18:12:12.803000+00:00									132,-33,32,-367,-223,-79,-5,-22
2025-11-19 18:16:37.918000+00:00									-194,-191,-163,-136,-136,-96,-98,-158,-155,-161,-162
2025-11-19 18:44:25.769000+00:00	78								-135,-182,-222,-353,-318,-272,-33,-254,-122
2025-11-19 18:12:07.546000+00:00									187,189,189,189,189,189
2025-11-19 18:07:23.007000+00:00	74								-52,-125,-139,-190,-261,-266,-252,-290,-272,-428,-429,-250,-123
2025-11-19 18:30:59.300000+00:00									-506,-152,-137,-121,-144,-174,-149,-438,-463,-506
2025-11-19 18:41:46.942000+00:00									-155
2025-11-19 18:14:47.131000+00:00									247,175,172,-19,-132,-220,-233,28,-287,-170,-249,-222,-227,-194,-84,-123,-41,-147,-117,-96,-75,167,-128,-63,-184,-162,-162,-39,-68,-30,44,-7,-17
2025-11-19 18:27:51.580000+00:00									119,188,192,192,191,191,202,192,191,191,37,-76
2025-11-19 18:10:00.868000+00:00									-44,-223,-449,-410,-338,-250,-149,-202,-167,-190,-225,-255
2025-11-19 18:06:56.335000+00:00									-167
2025-11-19 18:27:31.223000+00:00									201,201,201,192,191,191,192,192,200,-23
2025-11-19 18:13:09.657000+00:00									199,189,188,152,64,-131,-258,-374
2025-11-19 18:13:04.511000+00:00									-224,-199,-164,-145
